word1,word2,oughta be related?,notes
food,winnings,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,wiz,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,yaoi,unrelated,bulk random lemma base + common preferred + rime (seed 42)
football,bait,unrelated,
football,basket,unrelated,
football,bat,unrelated,
football,cat,unrelated,
football,cheer,related,
football,crime,unrelated,
football,dog,unrelated_ish,because hot dogs are served at football games
football,dribble,related,because of soccer
football,duck,unrelated,
football,evil,unrelated,
football,field,related,
football,fish,unrelated,
football,goal,related,
football,heist,unrelated,
football,incomplete,related,prereq: football/yeet+incomplete
football,pass,related,
football,quarterback,related,
football,rod,unrelated,
football,stadium,related,
football,tackle,related,
football,throw,related,
football,violin,unrelated,
football,yeet,related,prereq: football/yeet+incomplete
fork,pasta,related,prereq: pasta/fork+pork
fortissimo,pianissimo,related,uncommon words
french,pirate,related,prereq: pirate/french+wench
garden,algebra,unrelated,
garden,crime,unrelated,
garden,geometry,unrelated,
garden,penguin,unrelated,
garden,pirate,unrelated,
garden,weed,related,garden weed
gay,ace,related,off the top of my head
gay,active,whatever,bulk random lemma base + common preferred + rime (seed 42)
gay,activism,related,off the top of my head
gay,activist,related,off the top of my head
gay,adaptive,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,adjustment,whatever,bulk random lemma base + common preferred + rime (seed 42)
gay,adopt,related,off the top of my head
gay,adoption,related,off the top of my head
gay,agenda,related,off the top of my head
gay,aids,related,off the top of my head
gay,anal,related,off the top of my head
gay,and,related,stop word
gay,angling,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,approximation,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,aquamarine,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,army,related,off the top of my head
gay,aro,related,off the top of my head
gay,aromantic,related,off the top of my head
gay,asexual,related,off the top of my head
gay,ashen,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,astray,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,attraction,related,off the top of my head
gay,attractive,related,off the top of my head
gay,averse,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,azure,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,bacon,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,balls,related,off the top of my head
gay,banal,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,bar,related,off the top of my head
gay,bathroom,related,off the top of my head
gay,bdsm,related,off the top of my head
gay,bear,related,off the top of my head
gay,beautiful,related,off the top of my head
gay,beauty,related,off the top of my head
gay,beta,whatever,bulk random lemma base + common preferred + rime (seed 42)
gay,bigot,related,off the top of my head
gay,bigotry,related,off the top of my head
gay,bisexual,related,off the top of my head
gay,blasé,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,bog,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,boi,related,off the top of my head
gay,borrow,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,bottom,related,off the top of my head
gay,bottoming,related,off the top of my head
gay,bowtie,related_ish,bulk random lemma base + common preferred + rime (seed 42)
gay,boy,related,off the top of my head
gay,boyfriend,related,off the top of my head
gay,breakup,related,off the top of my head
gay,bridal,related,bulk random lemma base + common preferred + rime (seed 42)
gay,caboose,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,can,related,stop word
gay,canteen,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,carefree,related,off the top of my head
gay,chatter,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,cheerful,related,off the top of my head
gay,chicago,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,clack,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,closet,related,bulk random lemma base + common preferred + rime (seed 42)
gay,closeted,related,bulk random lemma base + common preferred + rime (seed 42)
gay,clothing,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,club,related,off the top of my head
gay,cock,related,off the top of my head
gay,coke,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,come,related,off the top of my head
gay,community,related,off the top of my head
gay,comply,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,computation,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,conceit,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,consent,related,off the top of my head
gay,consequential,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,contribution,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,courser,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,cream,related,bulk random lemma base + common preferred + rime (seed 42)
gay,creeps,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,crime,related,off the top of my head
gay,criminality,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,criminologist,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,crinkle,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,croon,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,cum,related,off the top of my head
gay,cunt,related,off the top of my head
gay,curious,related,off the top of my head
gay,curl,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,date,related,off the top of my head
gay,dating,related,off the top of my head
gay,decoder,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,deduct,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,delegation,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,derby,related,bulk random lemma base + common preferred + rime (seed 42)
gay,destruction,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,detainment,whatever,bulk random lemma base + common preferred + rime (seed 42)
gay,devolution,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,dick,related,off the top of my head
gay,diplomatically,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,disabuse,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,discontent,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,discreet,related,off the top of my head
gay,discriminate,related,off the top of my head
gay,discrimination,related,off the top of my head
gay,disease,related,off the top of my head
gay,dissipation,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,diva,related,off the top of my head
gay,domestic,related,off the top of my head
gay,drag,related,off the top of my head
gay,drape,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,duff,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,duke,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,dumb,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,ecological,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,electrification,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,emit,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,enrage,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,ethylene,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,euthanasia,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,ever,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,excise,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,facade,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,family,related,off the top of my head
gay,fantasize,related,off the top of my head
gay,fantasy,related,off the top of my head
gay,farm,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,fired,whatever,bulk random lemma base + common preferred + rime (seed 42)
gay,firm,related,bulk random lemma base + common preferred + rime (seed 42)
gay,flowery,related,bulk random lemma base + common preferred + rime (seed 42)
gay,foggy,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,fractal,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,frost,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,fuck,related,off the top of my head
gay,fun,related,off the top of my head
gay,gal,whatever,bulk random lemma base + common preferred + rime (seed 42)
gay,gate,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,gender,related,off the top of my head
gay,genetic,related,off the top of my head
gay,geologist,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,gert,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,girl,related,off the top of my head
gay,girlfriend,related,off the top of my head
gay,glad,whatever,bulk random lemma base + common preferred + rime (seed 42)
gay,glory,related,off the top of my head
gay,gobble,whatever,bulk random lemma base + common preferred + rime (seed 42)
gay,golden,related,off the top of my head
gay,grain,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,grooming,related,off the top of my head
gay,guerilla,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,guide,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,halloween,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,handsome,related,off the top of my head
gay,happy,related,off the top of my head
gay,hasty,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,hate,related,off the top of my head
gay,heiress,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,hermaphrodite,related,off the top of my head
gay,heterosexual,related,off the top of my head
gay,hipster,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,homey,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,homie,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,homosexual,related,off the top of my head
gay,hookup,related,off the top of my head
gay,hooky,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,horn,unrelated,off the top of my head
gay,horny,related,off the top of my head
gay,hysteric,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,hysterics,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,impressionism,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,inattention,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,inductor,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,infection,related,off the top of my head
gay,inside,whatever,bulk random lemma base + common preferred + rime (seed 42)
gay,intersex,related,off the top of my head
gay,inveterate,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,jack,related,off the top of my head
gay,jill,related,off the top of my head
gay,jog,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,jones,unrelated,bulk random lemma base + common preferred + rime (seed 42)
gay,jordan,unrelated,bulk random lemma base + common preferred + rime (seed 42)
